,distance,patent_number
6260,0.0,9872234
6255,0.0,9872338
6254,0.0,9642527
6253,0.0,9888852
6252,0.0,9931035
6251,0.0,9888851
6250,0.0,9895061
15000,0.0,9711146
15005,0.0,9710978
15010,0.0,9706426
6290,0.0,9866291
6245,0.0,9875637
6295,0.0,9864958
14965,0.0,9760572
6340,0.0,9854973
14931,0.0,9838849
6335,0.0,9856108
14935,0.0,9807552
14940,0.0,9806811
6330,0.0,9858595
14945,0.0,9795858
14946,0.0,9398213
6325,0.0,9859966
14950,0.0,10339557
14951,0.0,9558504
14952,0.0,10339557
14953,0.0,10019725
6320,0.0,9859993
14954,0.0,9741052
14955,0.0,10013831
6315,0.0,9860297
14956,0.0,9774991
14957,0.0,10115253
14958,0.0,10198886
6310,0.0,9860329
14959,0.0,9998857
14960,0.0,9648448
14961,0.0,10136292
14962,0.0,9768831
14970,0.0,9742894
6345,0.0,9854615
6241,0.0,9876544
15015,0.0,9705040
15070,0.0,9648452
15075,0.0,9648448
15076,0.0,10136292
6185,0.0,9883445
6180,0.0,9886032
15077,0.0,9768831
15080,0.0,9641730
6177,0.0,9887753
6176,0.0,9484991
6175,0.0,10181886
15085,0.0,9198262
15086,0.0,9635737
15087,0.0,9883563
6170,0.0,9887755
6166,0.0,9887756
6165,0.0,9712221
6161,0.0,10205612
6160,0.0,9887861
15095,0.0,9614708
15100,0.0,9919197
6155,0.0,9887919
15101,0.0,9610491
15105,0.0,9609725
15110,0.0,9607497
6150,0.0,9888214
15065,0.0,9652770
6240,0.0,9906282
6190,0.0,9883298
15061,0.0,9652949
6235,0.0,9876545
15020,0.0,9699523
6230,0.0,9876680
15025,0.0,9691954
15030,0.0,9997001
6226,0.0,9344966
6225,0.0,9876892
15031,0.0,10115254
15032,0.0,9424699
15033,0.0,9858741
15034,0.0,9466163
6220,0.0,9877143
6215,0.0,9877223
15035,0.0,9685045
15040,0.0,9681509
15045,0.0,9425954
6210,0.0,9877526
15046,0.0,9660803
15050,0.0,9655027
6205,0.0,9879944
6200,0.0,9881369
15055,0.0,9653642
15056,0.0,10002928
6195,0.0,9883275
15060,0.0,9305441
6191,0.0,9510113
14930,0.0,10292016
14925,0.0,9843223
14920,0.0,9843385
14806,0.0,10278777
14807,0.0,9980780
6485,0.0,9826558
14808,0.0,9861446
14809,0.0,10292768
14810,0.0,9965938
14815,0.0,9954142
6480,0.0,9829715
6475,0.0,9829882
14820,0.0,9949348
6470,0.0,9832601
14825,0.0,10243656
14826,0.0,9941964
14830,0.0,10085331
14831,0.0,9936566
6465,0.0,9832745
14832,0.0,9210779
14835,0.0,9936549
14840,0.0,9933855
14845,0.0,9922254
6460,0.0,9832779
6455,0.0,9836046
14850,0.0,9919197
14851,0.0,9610491
14855,0.0,9905739
14805,0.0,10159530
6450,0.0,9837958
6490,0.0,9826483
6496,0.0,9504038
14775,0.0,9653642
14776,0.0,10002928
6530,0.0,9823289
14780,0.0,10001966
14785,0.0,10013831
14786,0.0,9774991
14787,0.0,10115253
6521,0.0,9820082
6520,0.0,9826339
14788,0.0,10198886
14789,0.0,9998857
6515,0.0,9826343
14790,0.0,9998570
14795,0.0,9997001
14796,0.0,10115254
14797,0.0,9424699
6510,0.0,9826369
14798,0.0,9858741
14799,0.0,9466163
14800,0.0,10121299
14801,0.0,9984521
6505,0.0,9826387
6500,0.0,9826418
14802,0.0,10297096
6497,0.0,9826435
6495,0.0,10264492
6446,0.0,9838651
6445,0.0,10205914
6441,0.0,9838876
6385,0.0,9848069
14900,0.0,9874334
6383,0.0,9848174
6382,0.0,9950435
6381,0.0,10220529
6380,0.0,9950434
6376,0.0,9485733
6375,0.0,9848385
14905,0.0,9871350
14910,0.0,10159530
6370,0.0,9848447
14911,0.0,10278777
14912,0.0,9980780
14913,0.0,9861446
6365,0.0,9851931
6360,0.0,9853970
14914,0.0,10292768
14915,0.0,9997001
14916,0.0,10115254
6355,0.0,9854163
14917,0.0,9424699
14918,0.0,9858741
14919,0.0,9466163
6351,0.0,9287657
6350,0.0,9854343
14895,0.0,9876770
14892,0.0,9883563
14891,0.0,9635737
6390,0.0,9848036
6440,0.0,10264459
14860,0.0,9905543
6436,0.0,9841491
6435,0.0,9599698
6431,0.0,9841758
6430,0.0,9290220
14861,0.0,10153260
6425,0.0,9842327
14865,0.0,9898799
6420,0.0,9843351
6418,0.0,9843471
6417,0.0,10103930
6535,0.0,9820333
6416,0.0,9386620
14870,0.0,10082284
14871,0.0,9581323
14872,0.0,9897304
6411,0.0,10149271
6410,0.0,9844017
14875,0.0,9892371
6405,0.0,9844068
14880,0.0,9887332
6400,0.0,9846237
14885,0.0,9887330
6395,0.0,9847864
14890,0.0,9198262
6415,0.0,9642176
5291,0.0,10070326
5290,0.0,9743291
5286,0.0,10074175
4210,0.0,10346114
17355,0.0,10347060
4206,0.0,10346591
4205,0.0,10346591
17360,0.0,10347049
17361,0.0,10347049
17365,0.0,10347047
4200,0.0,10347105
17366,0.0,10347047
17370,0.0,10347026
17371,0.0,10347026
17375,0.0,10347003
4195,0.0,10347414
17380,0.0,10346985
17381,0.0,10346985
4191,0.0,10348409
4190,0.0,10348409
4186,0.0,9967114
4185,0.0,10348533
4180,0.0,10349253
4175,0.0,10349259
17385,0.0,10346928
17386,0.0,10346928
17390,0.0,10346925
4170,0.0,10349366
4215,0.0,10345797
4166,0.0,10349498
4220,0.0,RE47488
4225,0.0,10341948
17320,0.0,10347076
4260,0.0,10333579
17325,0.0,10347075
17330,0.0,10347072
17331,0.0,10347072
4255,0.0,10333980
4252,0.0,9961513
4251,0.0,10334407
4250,0.0,10334407
17335,0.0,10347066
17336,0.0,10347066
17340,0.0,10347065
4245,0.0,10338636
4240,0.0,10339496
17345,0.0,10347064
17350,0.0,10347063
17351,0.0,10347063
4236,0.0,10341149
4235,0.0,10341149
4233,0.0,9763115
4232,0.0,10341886
4231,0.0,10091671
4230,0.0,10341886
4227,0.0,10341948
4226,0.0,9924457
4221,0.0,RE47488
17316,0.0,10347081
4165,0.0,9900967
17396,0.0,10346923
4121,0.0,10346848
4120,0.0,10346848
17455,0.0,10346833
4118,0.0,10346874
4117,0.0,10346865
4116,0.0,10346865
4115,0.0,10346874
17456,0.0,10346833
17460,0.0,10346831
4110,0.0,10346867
17465,0.0,10346830
17470,0.0,10346827
4105,0.0,10346870
4101,0.0,10346872
4100,0.0,10346872
17475,0.0,10346826
4098,0.0,10346874
4097,0.0,10346865
4096,0.0,10346865
4095,0.0,10346874
17485,0.0,10346814
17490,0.0,10346811
4090,0.0,10346875
17495,0.0,10346810
17496,0.0,10346810
17450,0.0,10346834
17395,0.0,10346923
17445,0.0,10346836
4125,0.0,10346846
4160,0.0,10346806
4156,0.0,10346810
4155,0.0,10346810
17405,0.0,10346914
17410,0.0,10346896
17411,0.0,10346896
17415,0.0,10346887
17420,0.0,10346874
17421,0.0,10346865
17422,0.0,10346865
4141,0.0,10346833
4140,0.0,10346833
17423,0.0,10346874
17425,0.0,10346874
17426,0.0,10346865
4136,0.0,10346839
4135,0.0,10346839
17427,0.0,10346865
17428,0.0,10346874
17430,0.0,10346852
4130,0.0,10346841
17431,0.0,10346852
17435,0.0,10346848
17436,0.0,10346848
17440,0.0,10346839
17441,0.0,10346839
4265,0.0,10332623
4266,0.0,10332623
17315,0.0,10347081
17130,0.0,10348130
4405,0.0,10295990
4400,0.0,10297127
17140,0.0,10348116
17145,0.0,10348099
17150,0.0,10348072
17155,0.0,10348047
4395,0.0,10298695
17160,0.0,10347978
4392,0.0,10171979
4391,0.0,9949065
4390,0.0,10299098
17165,0.0,10347848
17170,0.0,10347834
17171,0.0,10347834
17175,0.0,10347829
4385,0.0,10299104
17180,0.0,10347771
17185,0.0,10347769
4380,0.0,10299290
17190,0.0,10347768
4375,0.0,10299302
4370,0.0,10299342
17195,0.0,10347558
17196,0.0,10347558
17125,0.0,10348136
17200,0.0,10347534
4410,0.0,10291246
4416,0.0,9461666
17090,0.0,10348391
